UniTCM_herb_ID,herb_english_name,herb_chinese_name,herb_pinyin_name,herb_alias_name_ch,herb_alias_name_en,herb_latin_name,source,herb_tcmbank_id,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id,Herb_ID,TCMKD_ID,flavors,properties,Meridians,medicinal_part,efficacy,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,acquisition_time,Standards_for_Medicinal_Use,family,producer,Origin_text,PMID
660,Panax ginseng C. A. Mey.,人参,REN SHEN,野山参;园参;棒槌,Ginseng;Asian Ginseng;Korean Ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,18803254;35340764
755,Radix Panacis Quinquefolii,西洋参,XI YANG SHEN,花旗参;广东人参;美国人参,American Ginseng;Panax quinquefolius,,paper,,,,,,,,,,,,,,,,,,,,,,,19504978
1113,Radix Ginseng Rubra,红参,HONG SHEN,红人参,Red Ginseng;Panax ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,22265785
1119,Acanthopanax senticosus Harms,刺五加,CI WU JIA,五加参;刺五加根,Eleutherococcus senticosus;Siberian ginseng;Eleuthero,,paper,,,,,,,,,,,,,,,,,,,,,,,22275146;41088501
1125,red ginseng,红参,HONG SHEN,,,Radix Ginseng Rubra,TCMbank,TCMBANKHE001345,SMHB00167,8051,167,157,HERB002319,TCMH2049,Mild;Bitter,Warm,Bladder; Large Intestine,Root,"Replenish vital essence, promote blood circualtion and relieve collapse. To reinforce qi and to stanch bleeding.","Treatment of collpase tendency due to asthenia, cool limbs and weak pulse. Qi cannot control blood, uterine bleeding, cardiac failure and cardiogenic shock.",,,Qi-tonifying medicines,补气药,Collected in the autumn.,,Araliaceae,"吉林,辽宁,黑龙江",中药红参，性温，味甘，微苦，属五加科，药用部位为根，秋季采收。 主要功效为大补元气、复脉固脱、益气摄血。,22310552;25997236;36153627;37003398;28929658;24973593
1126,white ginseng,白参,BAI CAN,白人参,White Ginseng;Panax ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,22310552;22360913;36504795
1284,white ginseng (WG),白参,BAI CAN,生晒参,Panax ginseng;White Ginseng root,,paper,,,,,,,,,,,,,,,,,,,,,,,23550959
1285,red ginseng (RG),红参,HONG SHEN,熟参;红直参,Panax ginseng;Korean red ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,23550959
1286,dali ginseng (DG),大理黄草乌,DA LI HUANG CAO WU,大理乌头,Aconitum delavayi,,paper,,,,,,,,,,,,,,,,,,,,,,,23550959
1415,Leejung-tang,理中汤,LI ZHONG TANG,理中丸,Lǐzhōng Tāng;Ginseng and Ginger Decoction,,paper,,,,,,,,,,,,,,,,,,,,,,,24383717
1551,Ciwujia,刺五加,CI WU JIA,五加参;刺五加皮,Eleutherococcus senticosus;Siberian Ginseng;Acanthopanax senticosus,,paper,,,,,,,,,,,,,,,,,,,,,,,25276974
1693,Asian ginseng,人参,REN SHEN,园参;红参;生晒参;野山参,Panax ginseng;Ginseng;Korean ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,26387210
1747,American ginseng,西洋参,XI YANG SHEN,,西洋人参; 洋参; 西参; 花旗参; 广东人参,Radix Pacis quinquefolii,TCMbank,TCMBANKHE004248,SMHB00423,2564,423,747,HERB005900,TCMH1887,Sweet;Slightly Bitter,Neutral;Cold,Lung; Heart; Kidney,root,1. To replenish qi and promote body fluids; 2. To nourish yin and clear heat,"Qi vacuity, yin depletion and effulgent fire, cough and asthma with phlegm-blood, vacuity heat and vexation fatigue, diabetes mellitus due to internal heat, thirst with dry throat.",,,Qi-tonifying medicines,补气药,Collected all year round.,,Leguminosae,"山西,陕西,甘肃,江苏,安徽,浙江,江西,福建,台湾,湖北,四川,贵州",中药血人参，性平，味辛，微苦，属豆科，药用部位为叶，全年可采。 主要功效为解表，化痰，利湿，活血。治伤风发热、头痛、咳嗽，淋浊，妇女血瘀腹痛，血崩，痈疽，丹毒。,26896573
1872,Ginseng Radix et Rhizoma,人参,REN SHEN,,,,paper;book_batch1,,,,,,,,,,,,,,,,,,,,,,,27868379;35850806
1925,Acanthopanax senticosus (Rupr. et Maxim.) Harms,刺五加,CI WU JIA,五加参;刺五加根;五加皮,Siberian Ginseng;Eleutherococcus senticosus;Ci Wu Jia,,paper,,,,,,,,,,,,,,,,,,,,,,,28371133
1937,mountain cultivated ginseng,山参,SHAN CAN,野山参;山野参,Mountain Ginseng;Wild Ginseng;Panax ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,28468295
2020,Panax notoginseng flower,三七花,SAN QI HUA,田七花,Notoginseng Flower;Panax notoginseng flos,,paper,,,,,,,,,,,,,,,,,,,,,,,29068139
2189,Notoginseng,人参三七,REN SHEN SAN QI,,,Panax notoginseng (Burkill) F.H.Chen ex C.H.Chow,TCMbank,TCMBANKHE000560,,6809,,,HERB004613,,,,,,,,,,,,,,,,,30453699
2261,Panax japonicus C.A. Meyer,竹节参,ZHU JIE CAN,竹节人参;日本参;土田七,Japanese Ginseng;Panax japonicus,,paper,,,,,,,,,,,,,,,,,,,,,,,31349632
2317,Panax ginseng Meyer,人参,REN SHEN,园参;吉林参;朝鲜参,Ginseng;Asian Ginseng;Panax schinseng,,paper,,,,,,,,,,,,,,,,,,,,,,,31700261;37951149;36644384
2346,Pfaffia glomerata,聚花巴西人参,JU HUA BA XI REN SHEN,巴西人参;聚花芙法藤,Brazilian Ginseng;Pfaffia;Corango-açu,,paper,,,,,,,,,,,,,,,,,,,,,,,31896050
2367,Ginseng Radix et Rhizoma Rubra,红参,HONG SHEN,,,,paper;book_batch1,,,,,,,,,,,,,,,,,,,,,,,32237513;38692077
2436,Gynostemma pentaphyllum (Thunb.) Makino,绞股蓝,JIAO GU LAN,七叶胆;五叶参;公罗锅底;遍地生根,Jiaogulan;Southern Ginseng;Miracle Grass;Five-leaf Gynostemma,,paper,,,,,,,,,,,,,,,,,,,,,,,32945671
2544,Panax ginseng C. A. Mey,人参,REN SHEN,园参;吉林参;朝鲜参,Ginseng;Asian Ginseng;Korean Ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,33981239
2606,P. quinquefolium,西洋参,XI YANG SHEN,花旗参;广东人参;洋参,American Ginseng;Panax quinquefolius,,paper,,,,,,,,,,,,,,,,,,,,,,,34426141
2610,Notoginseng Radix et Rhizoma,三七,SAN QI,,,,paper;book_batch1,,,,,,,,,,,,,,,,,,,,,,,34467728;40461209
2727,Panax japonicus C. A. Mey.,竹节参,ZHU JIE CAN,竹节人参;日本参;土当归,Japanese Ginseng;Panax japonicus,,paper,,,,,,,,,,,,,,,,,,,,,,,35340764
2841,Panacis Quinquefolii Radix,西洋参,XI YANG SHEN,花旗参;广东人参;洋参,American Ginseng;Panax quinquefolius,,paper,,,,,,,,,,,,,,,,,,,,,,,36191660;28925113
2931,Renshen-Yangrong Pill,人参养荣丸,REN SHEN YANG RONG WAN,人参养荣汤,Ren Shen Yang Rong Wan;Ginseng Nutritive Decoction,,paper,,,,,,,,,,,,,,,,,,,,,,,36738686
3010,Panax ginseng C.A. Mey,人参,REN SHEN,园参;山参;棒槌,Ginseng;Asian Ginseng;Korean Ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,37352946
3071,Panax ginseng C.A.Mey.,人参,REN SHEN,园参;棒槌;山参,Ginseng;Panax schinseng,,paper,,,,,,,,,,,,,,,,,,,,,,,37918551
3245,Black ginseng,黑参,HEI CAN,黑晒参,Black Ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,39092221
3263,Shen Qi Bu Qi Powder,参芪补气散,CAN QI BU QI SAN,参芪补气粉,Shenqi Buqi Powder;Ginseng and Astragalus Qi-tonifying Powder,,paper,,,,,,,,,,,,,,,,,,,,,,,39247054
3436,Panax quinquefolius flowers,西洋参花,XI YANG SHEN HUA,花旗参花,American Ginseng Flower;Panax quinquefolius flos,,paper,,,,,,,,,,,,,,,,,,,,,,,40205726
3438,Wushen Decoction,五参汤,WU CAN TANG,五参饮,Wushen Tang;Five Ginseng Decoction,,paper,,,,,,,,,,,,,,,,,,,,,,,40207497
3540,Panax ginseng C.A.Mey,人参,REN SHEN,园参;红参;生晒参;白参,Ginseng;Asian Ginseng;Ren Shen,,paper,,,,,,,,,,,,,,,,,,,,,,,40645037
3718,Ginseng-Schisandra chinensis,人参-五味子,REN SHEN - WU WEI ZI,,Ginseng-Schisandra pair,,paper,,,,,,,,,,,,,,,,,,,,,,,39798886
3739,Panax quinquefolius L,西洋参,XI YANG SHEN,花旗参;广东人参;西洋人参,American Ginseng;Panax quinquefolius,,paper,,,,,,,,,,,,,,,,,,,,,,,40106050
3831,Sanchen powder,三七粉,SAN QI FEN,田七粉,Notoginseng powder;Panax notoginseng powder,,paper,,,,,,,,,,,,,,,,,,,,,,,38417599
3927,Panax ginseng C.A. Mey.,人参,REN SHEN,园参;吉林参;朝鲜参,Ginseng;Asian Ginseng;Korean Ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,38065884
3998,Ginseng-Douchi,人参-豆豉,REN SHEN - DOU CHI,,Ginseng-Douchi pair,,paper,,,,,,,,,,,,,,,,,,,,,,,33787140
4041,Panacis majoris Rhizoma,竹节参,ZHU JIE CAN,竹节人参;竹节七;土参;疙瘩七,Panax japonicus;Japanese Ginseng;Rhizoma Panacis Japonici,,paper,,,,,,,,,,,,,,,,,,,,,,,32731133
4073,Ginseng radix,人参,REN SHEN,山参;园参;棒槌,Panax ginseng;Asian Ginseng;Korean Ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,29787993
4130,Sanqi ginseng,三七,SAN QI,田七;山漆;金不换,Notoginseng;Panax notoginseng;Pseudoginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,23839821
4162,P. ginseng,人参,REN SHEN,园参;山参;棒槌,Panax ginseng;Ginseng;Ginseng Radix,,paper,,,,,,,,,,,,,,,,,,,,,,,17536727
4163,P. quinquefolius,西洋参,XI YANG SHEN,花旗参;广东人参;洋参,American ginseng;Panax quinquefolius,,paper,,,,,,,,,,,,,,,,,,,,,,,17536727
4164,P. notoginseng,三七,SAN QI,田七;山漆;金不换,Panax notoginseng;Notoginseng Radix,,paper,,,,,,,,,,,,,,,,,,,,,,,17536727
4190,Acanthopanax Senticosus Harms.,刺五加,CI WU JIA,五加参;刺五加根;老虎镣,Eleuthero;Siberian Ginseng;Eleutherococcus senticosus,,paper,,,,,,,,,,,,,,,,,,,,,,,26632031
4323,Kaempferia parviflora,黑姜,HEI JIANG,泰国黑姜;小花山柰,Black Ginger;Thai Ginseng;Krachai Dum,,paper,,,,,,,,,,,,,,,,,,,,,,,41193520
4444,Renshen,人参,REN SHEN,山参;园参;棒槌,Ginseng;Panax ginseng,,paper,,,,,,,,,,,,,,,,,,,,,,,37586442
4479,Panax quinquefolium L.,西洋参,XI YANG SHEN,花旗参;广东人参;洋参,American Ginseng;Panax quinquefolius,,paper,,,,,,,,,,,,,,,,,,,,,,,36313322
4537,Eleutherococcus senticosus (Rupr. et Maxim.) Maxim.,刺五加,CI WU JIA,五加参;刺五加根;老虎潦,Siberian ginseng;Ciwujia;Acanthopanax senticosus,,paper,,,,,,,,,,,,,,,,,,,,,,,33807364
5911,Northeast Spineginseng;Tall Oplopanax,东北刺人参,DONG BEI CI REN SHEN,,东北刺人参,Oplopanax elatus,TCMbank,TCMBANKHE008163,,4782,,,HERB001321,,,,,root,"To supplement qi and reinforce yang , suppress cough, free network vessels, abate fever.","Qi vacuity and general weakness, fatigued spirit and lassitude, impotence, vacuity cough, wind-cold-damp impediment, diabetes mellitus, hypertension.",,,,,,,,,,
6399,Korea ginseng,高丽参,GAO LI SHEN,,,Radix Ginseng Korea,TCMbank,TCMBANKHE002306,,7048,,268,HERB001850,TCMH2458,Minor Warm;Sweet;Slightly Bitter,Slightly warm,Lung; Spleen; Heart,Panax ginseng CA.Mey,"Greatly replenishes vitality, nourishes and strengthens the body, generates fluids to quench thirst, and calms the mind to enhance intelligence.",,,,Qi-tonifying medicines,,,,Araliaceae,,中药高丽参，性微温，味甘，微苦，属五加科，药用部位为带根茎的根 主要功效为大补元气，滋补强壮，生津止渴，宁神益智,
6616,Prince Ginseng Root,孩儿参,HAI ER SHEN,,,Radix Pseudostellariae,TCMbank,TCMBANKHE000382,SMHB00388,1645,,947,HERB002086,,,,,Pseudostellaria heterophylla (Miq.) Pax ex Pax et Hooffm.,"To supplement vital Qi and promote the production of body fluid. For insufficiency of spleen-yin, spleen-energy, lung-yin and lung-energy manifested as poor appetite, fatigue, thirst and general debilityduring convalescence, for dryness of lung with non-productive cough, febrile diseases with consumption of body fluid and thirst, especially for insufficiency of yin and vital energy in children and spontaneous perspiration in debilitated persons.","To supplement vital Qi and promote the production of body fluid. For insufficiency of spleen-yin, spleen-energy, lung-yin and lung-energy manifested as poor appetite, fatigue, thirst and general debilityduring convalescence, for dryness of lung with non-p",,,,,,,,,,
6666,Sanchi,汉三七,HAN SAN QI,,"山漆,金不换,血参,人参三七,佛手山漆,参三七,田七,滇三七",Radix Notoginseng,TCMbank,TCMBANKHE004505,SMHB00346,1452,,317,HERB002138,TCMH2509,Pungent;Slightly Bitter,Warm,Stomach; Liver,Panax notoginseng (Burk. ) F. H. Chen.,"Treatment of hemoptysis, hematemesis, epistaxis, hematochezia, abnormal uterine bleeding, traumatic bleeding, pricking pain in the chest and abdomen, traumatic swelling and pain.","1. Flavonoid glycoside, one of its components, increases coronary flow, reduces myocardial oxygen consumption and lowers arterial pressure.2.Cardiotonic on frogs' hearts in vitro; low concentration of its extract exerts a vasoconstrictive effect on the vessels of frogs' leg and high concentration, vasodilative3. Its liquid extract shortens clotting time and exerts hemostatic effect in rabbit.",,"1. Flavonoid glycoside, one of its components, increases coronary flow, reduces myocardial oxygen consumption and lowers arterial pressure.2.Cardiotonic on frogs' hearts in vitro; low concentration of its extract exerts a vasoconstrictive effect on the ve",Hemostatic medicines,止血,"Generally harvested after 4 years of cultivation; high quality and yield in August-September, poor quality and low yield in November.",,Araliaceae,"江西,湖北,广东,广西,四川,云南",中药汉三七，别名为山漆，金不换，血参，人参三七，佛手山漆，参三七，田七，滇三七，性温，味甘，微苦，属五加科，药用部位为块根，一般种植4年收获，8-9月收获的质量好，产量高;11月收获的质量差，产量低。 主要功效为止血，散瘀，消肿，定痛。治吐血，咳血，衄血，便血，血痢，崩漏，癥瘕，产后血晕，恶露不下，跌扑瘀血，外伤出血，痈肿疼痛。,
7144,Ji'an red ginseng,集安红参,JI AN HONG SHEN,,,Panax ginseng,TCMbank,TCMBANKHE002528,,7543,,,HERB002653,,,,,,,,,,,,,,,,,
8279,American Spineginseng,美洲刺参,MEI ZHOU CI SHEN,,,Oplopanax horridus,TCMbank,TCMBANKHE000636,,1756,,,HERB003881,,,,,,,,,,,,,,,,,
8857,Largeleaf Japanese Ginseng,秦岭珠子参,QIN LING ZHU ZI SHEN,,鸡腰参; 大金线吊葫芦; 珠儿参; 白地瓜,Panax japonicus var. major,TCMbank,TCMBANKHE007414,,7879,,,HERB004512,,,,,rhizome,"To clear heat and nourish yin , stanch bleeding and dissipate stasis, disperse swelling and relieve pain.","Febrile diseases with vexation and thirst, lung heat cough due to yin vacuity, hemoptysis, blood ejection, spontaneous external bleeding, hematochezia, hematuria, flooding and spotting, bleeding due to external injury, wound swelling from knocks and falls, wind-damp impediment pain, stomachache, menstrual disorder, wind-fire toothache, swelling pain in throat, swelling pain of welling abscess and sore.",,,,,,,,,,
8944,Spica Panax ginseng,人参花,REN SHEN HUA,,,Flos Ginseng,TCMbank,TCMBANKHE001243,,7736,,,HERB004610,,,,,,,,,,,,,,,,,
8945,Ginseng Buds,人参花蕾,REN SHEN HUA LEI,,,Panax ginseng [Syn. Panax schinseng ],TCMbank,TCMBANKHE007603,,4540,,,HERB004611,,,,,bud,"To supplement original qi greatly, supplement spleen and boost lung, engender liquid and allay thirst, quiet spirit and boost wits.","Qi vacuity and verging on desertion, spleen vacuity and fatigued body, inappetence, vomiting, diarrhea, lung vacuity and shortness of breath, cough, hasty asthma, vacuity and profuse sweating, fluid damage and thirst, diabetes mellitus, insomnia and frequent dreaming, fright palpitation and amnesia, anemia with yellow complexion, kidney vacuity impotence, frequent urination, qi -blood fluids vacuity depletion.",,,,,,,,,,
8946,Ginseng Reed,人参芦,REN SHEN LU,,参芦; 竹节参,Panax ginseng [Syn. Panax schinseng ],TCMbank,TCMBANKHE008893,,1194,,,HERB004612,TCMH2980,Sweet;slightly bitter,Warm,Stomach; Spleen; Lung,rhizome,To upbear yang and raise fall.,"Spleen vacuity qi fall, enduring diarrhea, prolapse of rectum.",,,,,Collected in mid to late September when harvesting ginseng roots.,,Araliaceae,"吉林,辽宁,黑龙江",中药人参芦，别名为参芦，竹节参，性温，味甘，微苦，属五加科，药用部位为根茎，9月中、下旬收获参根时，收集参芦。 主要功效为升阳举陷。,
8947,ginseng hybrid,人参西洋参杂交种,REN SHEN XI YANG SHEN ZA JIAO ZHONG,,,Panax ginseng × P. quinquefolium,TCMbank,TCMBANKHE007911,,2877,,,HERB004614,,,,,,,,,,,,,,,,,
8948,ginseng rootlet,人参须,REN SHEN XU,,,Panax ginseng,TCMbank,TCMBANKHE003630,,3770,,,HERB004615,,,,,,,,,,,,,,,,,
8949,Ginseng Leaf,人参叶,REN SHEN YE,,人参苗; 参叶,Folium Ginseng,TCMbank,TCMBANKHE007443,SMHB00337,7227,337,1029,HERB004616,,,,,leaf,"To nourish qi and lung, expel summer-heat, to promote fluid secretion.","Summerheat-heat and thirst, febrile diseases fluid damage, stomach yin insufficiency, diabetes mellitus, dry cough due to lung dryness, vacuity-fire toothache.",,,Qi-tonifying medicines,补气药,,,,,,
8950,Fructus Panax ginseng,人参子,REN SHEN ZI,,,Fructus Ginseng,TCMbank,TCMBANKHE000387,,2991,,,HERB004617,,,,,,,,,,,,,,,,,
9106,Sanchi;Panax notoginseng,三七,SAN QI,,山漆; 金不换; 血参; 人参三七; 佛手山漆山漆; 参三七; 田七; 滇三七[盘龙七,Radix Notoginseng,TCMbank,TCMBANKHE004506,SMHB00346,2443,346,602,HERB004783,,Pungent;Slightly Bitter,Warm,Stomach; Liver,root,"To eliminate blood stasis, arrest bleeding, cause subsidence of swelling and alleviate pain.","Hemoptysis, blood ejection, spontaneous external bleeding, hematochezia, flooding and spotting, bleeding due to external injury, angina pectoris, stabbing pain in chest and abdomen, painful swelling from knocks and falls.",,"1. Flavonoid glycoside, one of its components, increases coronary flow, reduces myocardial oxygen consumption and lowers arterial pressure.2.Cardiotonic on frogs' hearts in vitro; low concentration of its extract exerts a vasoconstrictive effect on the ve",Stasis-resolving hemostatic medicines,化瘀止血药,,,,,,
9108,Notoginseng Flos,三七花,SAN QI HUA,,田七花,Notoginseng Flos,TCMbank,TCMBANKHE001683,SMHB00347,,347,,HERB004785,TCMH2994,Sweet,Cool,Liver; Kidney,Flower,"Clears heat and promotes fluid production, calms the liver and lowers blood pressure.",,,,Heat-clearing and toxin-removing medicines,清热解毒药,Harvested inflorescences during flowering from June to August.,,Araliaceae,"江西,湖北,广东,广西,四川,云南",中药三七花，别名为田七花，性凉，味甘，属五加科，药用部位为花，6至8月开花时采收花序。 主要功效为清热生津、平肝降压。,
9109,Sanchi Buds,三七花蕾,SAN QI HUA LEI,,,Panax pseudo-ginseng var. notoginseng [Syn. Panax notoginseng ],TCMbank,TCMBANKHE006552,,8120,,,HERB004786,,,,,flower,"To clear heat and engender liquid, calm liver and lower blood pressure.","Fluid damage and thirst, aphonia due to throat pain, hypertension.",,,,,,,,,,
9110,Folium Panax notoginseng,三七叶,SAN QI YE,,,Folium Notoginseng,TCMbank,TCMBANKHE000220,,3617,,,HERB004787,,,,,,,,,,,,,,,,,
10132,American Ginseng Stem-leaf,西洋参茎叶,XI YANG SHEN JING YE,,,Panax quinquefolium,TCMbank,TCMBANKHE005217,,6380,,,HERB005901,,,,,,,,,,,,,,,,,
10188,Panax pseudo-ginseng Wall. var. angustifolius,狭叶假人参,XIA YE JIA REN SHEN,,,Panax Pseudo-Ginseng Var. Angustifolius,TCMbank,TCMBANKHE000796,,2583,,,HERB005957,,,,,,,,,,,,,,,,,
10931,Bipinnatifid Ginseng,羽叶三七,YU YE SAN QI,,纽子三七; 黄连三七; 花叶扭子七; 花叶三七; 土三七; 疙瘩七,Panax japonicus var. bipinnatifidus,TCMbank,TCMBANKHE004740,,8111,,,HERB006747,,,,,rhizome,"To stanch bleeding and dissipate stasis, disperse swelling and settle pain.","Blood ejection, hemoptysis, spontaneous external bleeding, hematochezia, hematuria, blood dysentery, flooding and spotting, bleeding due to external injury, menstrual disorder, amenorrhea, postpartum blood stasis abdominal pain, painful swelling from knocks and falls, taxation damage and lumbago, chest and rib-side pain, pain in stomach duct, sores.",,,,,,,,,,
11051,Tibet Ginseng,藏三七,ZANG SAN QI,,,Panax pseudo -ginseng,TCMbank,TCMBANKHE006214,,5596,,,HERB006879,,,,,tuberoid,"To transform stasis and stanch bleeding, disperse swelling and settle pain.","Blood ejection, spontaneous external bleeding, blood dysentery, flooding, postpartum persistent flow of lochia, knocks and falls.",,,,,,,,,,
11221,RadixGinsengRubra RedHalloysite,中国红参,ZHONG GUO HONG SHEN,,,Radix Ginseng Rubra,TCMbank,TCMBANKHE001490,,1353,,,HERB007061,,,,,,,,,,,,,,,,,
11266,Japanese Ginseng,竹节三七,ZHU JIE SAN QI,,竹根七; 野三七; 鸡头七; 土三七; 藏三七; 三七; 扣子七; 竹节三七; 峨三七; 峨眉三七; 芋儿七; 白三七; 明七; 竹根七; 萝卜参; 大竹根七,Panax pseudo - ginseng var. japonicus,TCMbank,TCMBANKHE003888,,1314,,,HERB007107,TCMH1991,Sweet;bitter,Warm,Liver; Spleen,rhizome,"To supplement vacuity, relieve cough and dispel phlegm, stanch bleeding and dissipate stasis, disperse swelling and relieve pain.","Weakness during convalescence, inappetence, vacuity taxation cough, hemoptysis, blood ejection, spontaneous external bleeding, hematochezia, hematuria, aberratio mensium, flooding and spotting, bleeding due to external injury, concretion and conglomeration, amenorrhea due to blood stasis, postpartum stasis stagnation abdominal pain, knocks and falls, pain in joints due to rheumatalgia, swollen welling abscess, hemorrhoids, poisonous snake bite.",,,,,Harvested rhizomes from September to October.,"The best ones are long, firm, heavy, and have a strong flavor.",Araliaceae,"四川,贵州,云南,西藏,重庆,浙江,安徽,河南,湖北,陕西,甘肃,四川,云南,陕西",中药竹节三七，别名为土参，土精，血参（《花镜》），甜七，竹根七（《草木便方》），竹节参（《科学的民间药草》），竹节人参（《现代实用中药》），竹鞭三七，罗汉三七（《中国药植志》），竹节七，竹七（《中药形性经验鉴别法》）；萝卜七，白三七（《中药材品种论述》），水三七（《贵州草药》），明七，野三七，鸡头七（《元南经济植物》）。性温，味甘，苦，属五加科，药用部位为根茎，9至10月采收根茎。 主要功效为止咳、化痰、活血。,
11293,Largeleaf Japanese Ginseng Rhizome,珠子参,ZHU ZI SHEN,,,Rhizoma Panacis Majoris,TCMbank,TCMBANKHE001974,,4501,,1091,HERB007136,,,,,Panax japonicus C. A. Mey. var. major (Burk.) C. Y. Wu et K. M. Feng.;Panax japonicus C. A. Mey. Var. bipinnatif idus (Seem.) C. Y. Wu et K. M. Feng.,"Treatment of deficiency of both qi and yin characterized by fever and thirst, cough in consumptive diseases, traumatic injuries, joint pain, hemoptysis, hematemesis, traumatic bleeding.","Treatment of deficiency of both qi and yin characterized by fever and thirst, cough in consumptive diseases, traumatic injuries, joint pain, hemoptysis, hematemesis, traumatic bleeding.",,,,,,,,,,
