Submission ID,Project Title,Short Abstract,Keywords,TCM Classification,Omics Type,Source Type,Organism,Tissue,Disease,Repository,Publication Year,Sample Number,Submitted By,Institution,View Count,Like Count,Downloads,Updated At
tcmomics000022,Circulating exosomal microRNAs contribute to the antimigraine effects of acupuncture,"This study explored acupuncture's antimigraine effects through exosomal microRNAs. It identified differentially expressed exosomal microRNAs in migraine patients and found that acupuncture treatment normalized their expression, suggesting exosome regulation as a potential mechanism.",acupuncture;migraine;exosomal microRNAs,Acupuncture & moxibustion,Transcriptomics,manual collect,Homo sapiens,,migraine,GEO,2024,30,22,Chengdu University of Traditional Chinese Medicine,0,0,0,
tcmomics000024,cordycepin-Energetic Homeostasis and Sugar Signaling,"This project investigates cordycepin's role in energetic homeostasis and sugar signaling by evaluating mRNA stability and RNA transcript level changes. It examines responses to glucose and abscisic acid treatments in Arabidopsis, focusing on the molecular mechanisms of co-regulated genes like transcription factors and kinases.",cordycepin;energetic homeostasis;sugar signaling;glucose signaling;mRNA stability;Arabidopsis,TCM Active ingredient,Transcriptomics,manual collect,Arabidopsis thaliana,,,GEO,2013,24,24,INRA,0,0,0,
tcmomics000035,Effect of Saikosaponin A on hepatocellular carcinoma cells,This study aims to clarify the molecular mechanism of Saikosaponin A against hepatocellular carcinoma cells.,Saikosaponin A;hepatocellular carcinoma;molecular mechanism,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,hepatocellular carcinoma,GEO,2023,6,35,Quzhou people's hospital,0,0,0,
tcmomics000025,Deep transcriptomics analysis reveals the development of postoperative ileus and the therapeutic effect of electroacupuncture,"This study investigates postoperative ileus (POI) and electroacupuncture's (EA) therapeutic effect via deep transcriptomics. An IM-induced POI model was treated with EA, evaluating its impact on gastrointestinal transit and colonic transport, with RNA sequencing to clarify mechanisms.",Postoperative ileus; Electroacupuncture; Transcriptomics; RNA sequencing; Intestinal manipulation; Therapeutic effect,Acupuncture & moxibustion,Transcriptomics,manual collect,Mus musculus,,postoperative ileus,GEO,2024,15,25,beijing university of chinese medcine,0,0,0,
tcmomics000026,Development of gene expression signatures for Buyang Huanwu decoction in treating intracerebral hemorrhage,"This study aims to identify potential lncRNA and mRNA gene expression signatures associated with Buyang Huanwu decoction (BYHWD) in treating intracerebral hemorrhage (ICH). LncRNA microarray profiling revealed differentially expressed lncRNAs and mRNAs across ICH, sham, and BYHWD treatment groups, quantifying key candidates.",Buyang Huanwu decoction;intracerebral hemorrhage;gene expression signature;lncRNA;mRNA;microarray,Classic formula,Transcriptomics,manual collect,Mus musculus,,intracerebral hemorrhage,GEO,2023,15,26,central south university xiangya hospital,0,0,0,
tcmomics000028,Effect of  homoharringtonine and Rocaglamide A on synchronized AC16 cells,This study conducted transcriptomic analysis using microarrays to investigate the effects of homoharringtonine and Rocaglamide A on the global gene expression program in synchronized AC16 cells after treatment.,homoharringtonine;Rocaglamide A;AC16 cells;transcriptomic analysis;gene expression;microarrays,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2024,10,28,Inserm,0,0,0,
tcmomics000032,Effect of Ichthyophthirius multifiliis on gene expression after treatment with magnolol in vivo,This study investigates the antiparasitic mechanism of magnolol against Ichthyophthirius multifiliis. RNA-seq analysis was performed to probe significantly regulated genes and gene expression profiles after magnolol treatment in vivo.,magnolol;Ichthyophthirius multifiliis;gene expression;RNA-seq;antiparasitic mechanism,TCM Active ingredient,Transcriptomics,manual collect,Ichthyophthirius multifiliis,,,GEO,2023,14,32,Northwest A&F university,0,0,0,
tcmomics000033,Effect of Lycium barbarum polysaccharide-glycoprotein(LBP) on irradiated HaCaT cells,This study investigates the protective effect of Lycium barbarum polysaccharide-glycoprotein (LBP) on radiation-induced HaCaT cell injury. Gene expression profiling via RNA-seq was performed to understand the underlying mechanisms of LBP's protective action.,Lycium barbarum polysaccharide-glycoprotein;LBP;HaCaT cells;radiation injury;RNA-seq;protective effect,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2024,10,33,Sichuan Provincial People's Hospital,0,0,0,
tcmomics000039,Effects of mulberry (Morus alba L.) leaf ingestion on gene expression of peripheral whole blood,"This study examines the physiological effects of mulberry (Morus alba L.) leaf ingestion, specifically focusing on its impact on the gene expression profiles within peripheral whole blood. The research aims to understand the molecular changes induced by this herbal intervention.",mulberry leaf;Morus alba L.;gene expression;peripheral blood,Herb/herbal medicine,Transcriptomics,manual collect,Rattus norvegicus,,,GEO,2024,16,39,Kanagawa Academy of Science and technology,0,0,0,
tcmomics000040,Effects of mulberry (Morus alba L.) leaf ingestion on gene expression of peripheral whole blood [CvsQ],"Ingestion of mulberry leaf powder in rats on a high-fat diet reduced serum alanine aminotransferase levels and altered peripheral whole blood gene expression, compared to control high-fat diet fed rats.",mulberry leaf; Morus alba L.; gene expression; alanine aminotransferase; high-fat diet; rats,Herb/herbal medicine,Transcriptomics,manual collect,Rattus norvegicus,,,GEO,2024,8,40,Kanagawa Academy of Science and technology,0,0,0,
tcmomics000933,Enhancing Extracellular Polysaccharide Production under Nitrate Condition through the Silencing of the Transcription Factor AreA in Ganoderma lucidum,"Silencing the AreA transcription factor in Ganoderma lucidum under nitrate conditions significantly enhances extracellular polysaccharide production. This also reduces intracellular polysaccharides and cell wall components, impacting cell wall integrity and providing strategies for polysaccharide enhancement.",Ganoderma lucidum;extracellular polysaccharide;AreA;nitrate;gene silencing;polysaccharide biosynthesis,TCM Active ingredient,Transcriptomics,manual collect,Ganoderma lucidum,,,GEO,2025,6,933,nanjing agricultural university,0,0,0,
tcmomics000041,Effects of mulberry (Morus alba L.) leaf ingestion on gene expression of peripheral whole blood [QvsM],This animal study observed that rats fed a high-fat diet supplemented with mulberry leaf powder showed decreased serum alanine aminotransferase and altered whole blood gene expression compared to those on a high-fat diet alone.,mulberry leaf;Morus alba L.;gene expression;alanine aminotransferase;high-fat diet,Herb/herbal medicine,Transcriptomics,manual collect,Rattus norvegicus,,,GEO,2024,8,41,Kanagawa Academy of Science and technology,0,0,0,
tcmomics000042,Effects of shikonin on the gene expression of human lymphoma U937 cells,"Shikonin, an active component from Lithospermum erythrorhizon, was investigated for its effects on gene expression in human lymphoma U937 cells using an Affymetrix GeneChip system. Many differentially expressed genes were identified after 100 nM shikonin treatment, without observing cell death.",shikonin;gene expression;lymphoma;U937 cells;Lithospermum erythrorhizon;anti-tumor effects,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,lymphoma,GEO,2019,4,42,University of Toyama,0,0,0,
tcmomics000043,Electroacupuncture Alleviates Perioperative Hypothalamus-Pituitary-Adrenal Axis Dysfunction via CircRNA-miRNA-mRNA Networks,"This study investigates how electroacupuncture alleviates perioperative hypothalamus-pituitary-adrenal axis dysfunction. It specifically explores the underlying mechanisms involving circRNA-miRNA-mRNA networks, suggesting a novel therapeutic pathway for this condition.",Electroacupuncture; HPA axis dysfunction; CircRNA; miRNA; mRNA; perioperative,Acupuncture & moxibustion,Transcriptomics,manual collect,Rattus norvegicus,,,GEO,2023,60,43,Fudan university,0,0,0,
tcmomics000044,Electroacupuncture Alleviates Perioperative Hypothalamus-Pituitary-Adrenal Axis Dysfunction via CircRNA-miRNA-mRNA Networks [circRNA],"Electroacupuncture (EA) alleviates perioperative hypothalamic-pituitary-adrenal (HPA) axis dysfunction. This study utilizes RNA sequencing in rat brain regions (hypothalamus, amygdala) to clarify EA's potential target gene expression profiles and mechanisms after hepatectomy.",Electroacupuncture;HPA axis dysfunction;perioperative;circRNA;miRNA;mRNA;RNA-seq;hypothalamus;amygdala;hepatectomy,Acupuncture & moxibustion,Transcriptomics,manual collect,Rattus norvegicus,,Perioperative Hypothalamus-Pituitary-Adrenal Axis Dysfunction,GEO,2023,12,44,Fudan university,0,0,0,
tcmomics000046,Electroacupuncture Alleviates Perioperative Hypothalamus-Pituitary-Adrenal Axis Dysfunction via CircRNA-miRNA-mRNA Networks [mRNA],"Electroacupuncture (EA) alleviates perioperative HPA axis dysfunction. This study clarifies EA's potential targets and gene expression profiles in rat brain nuclei (hypothalamus, amygdala) using RNA sequencing, aiming to uncover its therapeutic mechanisms.",Electroacupuncture;HPA axis dysfunction;Perioperative;RNA sequencing;Gene networks;Brain,Acupuncture & moxibustion,Transcriptomics,manual collect,Rattus norvegicus,,,GEO,2023,24,46,Fudan university,0,0,0,
tcmomics000056,Expression data from treatment of actinomycin D and triptolide on MCF7 cells,"This study provides expression data from MCF7 cells treated with actinomycin D and triptolide for 2, 4, and 6 hours. Microarrays were used to explore the mechanism of triptolide's action on these cells.",triptolide;actinomycin D;MCF7 cells;expression data;microarrays;mechanism of action,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,breast cancer,GEO,2017,18,56,Broad Institute or MIT and Harvard,0,0,0,
tcmomics000081,Global gene expression profiling of hepatocellular carcinomas in B6C3F1 mice induced by Ginkgo biloba extract by gavage for two years,"Ginkgo biloba extract (GBE) induces hepatocellular carcinoma in mice, involving 尾-catenin mutation and constitutive Wnt signaling. Global gene expression profiling reveals upregulation of oncogenes and suppression of tumor suppressors, providing molecular insights into GBE-induced hepatocarcinogenesis relevant to human cancer.",Ginkgo biloba extract;hepatocellular carcinoma;gene expression profiling;β-catenin;carcinogenicity;oxidative stress,Herb/herbal medicine,Transcriptomics,manual collect,Mus musculus,,hepatocellular carcinoma,GEO,2019,18,81,NIEHS,0,0,0,
tcmomics000058,Expression data of 8 healthy people and 8 patients with coronary heart disease before and after 8 weeks treatment with Danlou tablets,"Danlou Tablets (DLT), a patented Chinese medicine, treats coronary heart disease (CHD). This study investigates genome changes and potential mechanisms of DLT using microarray data from CHD patients before and after 8 weeks of treatment.",Danlou Tablets;coronary heart disease;microarray;gene expression;mechanism,Chinese patent medicine,Transcriptomics,manual collect,Homo sapiens,,coronary heart disease,GEO,2023,24,58,Tianjin university of TCM,0,0,0,
tcmomics000319,Hypolipidemic effects of Zexie Decoction on the lipid profile in hyperlipidemia rats by RNA-sequencing,"This study investigated Zexie Decoction's hypolipidemic effects in hyperlipidemia rats via RNA-sequencing. Findings revealed ZXD alleviated lipid metabolism disorder by modulating genes and pathways, offering scientific evidence for its pharmacological potential.",Zexie Decoction; hypolipidemic effect; hyperlipidemia; RNA-sequencing; transcriptome analysis,Classic formula,Transcriptomics,manual collect,Rattus norvegicus,,hyperlipidemia,GEO,2022,15,319,Fujian Academy of Medical Sciences,0,0,0,
tcmomics000090,Glycyrrhizic Acid Inhibits Myeloid Differentiation of Hematopoietic Stem Cells and Improves Cognition in Aged Mice by Binding to the S100 Calcium-Binding Protein A8 [OEA8-67-69 RNA-seq],"Glycyrrhizic acid (GA) inhibits myeloid differentiation of hematopoietic stem cells and improves cognition in aged mice. GA remodels the immune system by reducing myeloid cells and promoting lymphoid lineage differentiation, exerting anti-aging effects through binding to the S100 calcium-binding protein A8 (S100A8).",Glycyrrhizic acid; S100A8; myeloid differentiation; hematopoietic stem cells; cognition; aged mice; immune remodeling; anti-aging,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2023,9,90,Tongji university,0,0,0,
tcmomics000091,Glycyrrhizic Acid Inhibits Myeloid Differentiation of Hematopoietic Stem Cells and Improves Cognition in Aged Mice by Binding to the S100 Calcium-Binding Protein A8 [scRNA-seq],"Glycyrrhizic acid (GA) improves cognition in aged mice by inhibiting myeloid differentiation of hematopoietic stem cells and remodeling the immune system. It achieves this by binding to S100A8, as shown by scRNA-seq analysis, reducing senescence-induced increases in macrophages and neutrophils.",Glycyrrhizic Acid;S100A8;myeloid differentiation;hematopoietic stem cells;cognition;aged mice;scRNA-seq;immune system;anti-aging,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,aging,GEO,2023,3,91,Tongji university,0,0,0,
tcmomics000098,Identifying STRN3-RARA as a new fusion gene for acute promyelocytic leukemia,"STRN3-RARA is a new fusion gene identified in acute promyelocytic leukemia (APL). It drives APL with UTX deficiency in mice, showing relapse after all-trans retinoic acid but restraint by cepharanthine.",STRN3-RARA;fusion gene;acute promyelocytic leukemia;APL;UTX deficiency;all-trans retinoic acid;cepharanthine,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,acute promyelocytic leukemia,GEO,2024,22,98,Sichuan University,0,0,0,
tcmomics000099,"Increased risk of mammary cancer recurrence in socially isolated rats is linked to upregulation of IL6/JAK/STAT3 and inhibition of oxidative phosphorylation signaling, activities blocked by the herbal mixture Jaeumganghwa-tang","Social isolation increases mammary cancer recurrence risk in rats by upregulating IL6/JAK/STAT3 and inhibiting oxidative phosphorylation. The herbal mixture Jaeumganghwa-tang effectively blocked these pathways, suppressed RAGE ligands, and prevented recurrence, suggesting its potential to mitigate cancer mortality in socially isolated survivors by targeting inflammation and metabolic disruption.",social isolation;mammary cancer recurrence;IL6/JAK/STAT3;oxidative phosphorylation;Jaeumganghwa-tang;rats;RAGE,Classic formula,Transcriptomics,manual collect,Rattus norvegicus,,mammary cancer,GEO,2023,24,99,Georgetown University,0,0,0,
tcmomics000100,Inhibitory effect of shikonin on lung cancer cells,This study investigated the inhibitory effect of shikonin on the proliferation and migration of lung cancer cells (A549 and H1299). Researchers treated these cells with shikonin and performed gene expression profiling using RNA-seq data from A549 cells to understand its mechanisms.,shikonin;lung cancer;proliferation;migration;A549;H1299;RNA-seq,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,lung cancer,GEO,2024,6,100,tangdu,0,0,0,
tcmomics000104,Investigation of ST8SIA1 expression in icaritin-treated and untreated melanoma cell lines,"This study investigates ST8SIA1 expression in icaritin-treated melanoma cell lines, revealing that ST8SIA1 promotes cell proliferation and colony formation. Icaritin treatment effectively halts these effects, suggesting its potential as a therapeutic agent in melanoma.",icaritin;melanoma;ST8SIA1;RNA-seq;cell proliferation;colony formation,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,melanoma,GEO,2024,12,104,Saint John's Cancer Institute,0,0,0,
tcmomics000141,RNA sequencing of RAW264.7 with or without Sal-B and LPS addition,"This study investigates the anti-inflammatory effects of Salvianolic acid B (Sal-B) from Salvia miltiorrhiza on RAW264.7 cells, hypothesizing its role in improving fat graft survival by inhibiting inflammation, which can cause complications.",Salvianolic acid B;Sal-B;inflammation;fat grafting;RAW264.7;RNA sequencing;LPS,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2023,6,141,Shanghai Ninth People`s Hospital,0,0,0,
tcmomics000069,Gene expression data from thalamic regions of MPTP-intoxicated mouse brain by acupuncture,"Acupuncture at GB34 and LR3 improves motor dysfunction in Parkinson's models. This study investigates gene expression changes in the thalamic regions of MPTP-induced parkinsonism mice after acupuncture stimulation, focusing on its effects on thalamic damage.",acupuncture;gene expression;thalamus;MPTP;Parkinson's disease;GB34;LR3,Acupuncture & moxibustion,Transcriptomics,manual collect,Mus musculus,,Parkinson's disease,GEO,2019,8,69,"East-West Medical Research Institute, Kyung Hee University",0,0,0,
tcmomics000106,Isoginkgetin induces autophagic cell death in hepatocellular carcinoma [RNA-Seq],"Isoginkgetin induces autophagic cell death in hepatocellular carcinoma (HepG2 cells). RNA-seq analysis revealed that Isoginkgetin treatment reduces the expression of glucose transporters, providing insights into its mechanism of action.",Isoginkgetin;autophagic cell death;hepatocellular carcinoma;RNA-Seq;HepG2 cells;glucose transporters,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,hepatocellular carcinoma,GEO,2023,4,106,wuhan university,0,0,0,
tcmomics000060,Gene Expression Analysis of Deer Antler,"This study analyzes gene expression changes in various deer antler tissues (velvet, mesenchyme, pedicle skin, frontal skin) from adult male Cervus elaphus. Multiple algorithms (MAS5, RMA, GCRMA, Dchip) were employed to identify significant expression changes.",deer antler; gene expression; Cervus elaphus; antler velvet; mesenchyme,Herb/herbal medicine,Transcriptomics,manual collect,Homo sapiens,,,GEO,2019,48,60,Hospital Nacional de Parapl?¨?|jicos (SESCAM),0,0,0,
tcmomics000074,Gene expression profiling of dendritic cells in different physiological stages under Cordyceps sinensis treatment,"This study investigates the immunomodulatory effects and mechanisms of Cordyceps sinensis on dendritic cells in both naive and inflammatory physiological stages, utilizing microarray experiments to profile gene expression and clarify its precise actions.",Cordyceps sinensis; dendritic cells; gene expression profiling; immunomodulation; microarray,Herb/herbal medicine,Transcriptomics,manual collect,Homo sapiens,,,GEO,2020,20,74,nthu,0,0,0,
tcmomics000107,Isoliensinine ameliorates renal injury via the TGF-?|??1/SMAD2/3 pathway in spontaneously hypertensive rats [kidney tissue],"This study investigated the effects of isoliensinine on renal injury in spontaneously hypertensive rats (SHR). Researchers compared gene expression in renal tissues of WKY, SHR, and isoliensinine-treated SHR rats, focusing on the TGF-尾1/SMAD2/3 pathway to understand the ameliorative mechanisms.",isoliensinine;renal injury;spontaneously hypertensive rats;TGF-β1/SMAD2/3 pathway;gene expression,TCM Active ingredient,Transcriptomics,manual collect,Rattus norvegicus,,renal injury,GEO,2023,18,107,Fujian University of Traditional Chinese Medicine,0,0,0,
tcmomics000077,Genome-wide identification of gamabufotalin (CS-6) targets in MDA-MB-468 cells,"This study identified genome-wide targets of gamabufotalin (CS-6) in MDA-MB-468 triple-negative breast cancer cells. Cells were treated with gamabufotalin, and RNA-seq was performed to explore differentially expressed genes, revealing its molecular mechanisms.",gamabufotalin;CS-6;MDA-MB-468 cells;genome-wide identification;RNA-seq;differentially expressed genes;breast cancer,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,breast cancer,GEO,2024,6,77,Hunan Normal University,0,0,0,
tcmomics000119,Microarray analysis of aristolochic acid in normal human cells,"This study uses microarray analysis to investigate aristolochic acid's molecular mechanisms in normal human kidney cells. It reveals AA induces dose-dependent cytotoxicity, alters gene expression profiles related to DNA damage and stress, and suppresses NF-κB activity, potentially explaining some anti-inflammatory effects.",aristolochic acid;microarray;gene expression;NF-κB;HK-2 cells,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,,GEO,2014,2,119,China Medical University,0,0,0,
tcmomics000999, 5-ALA photodynamic metabolite-powered zero-waste “ferroptosis amplifier” for enhanced hypertrophic scar therapy,"A novel zero-waste approach for hypertrophic scar therapy utilizes 5-ALA photodynamic therapy. It repurposes 5-ALA metabolic waste, heme, to drive ferroptosis, enhanced by baicalin, delivering sustained effects via microneedles.",Hypertrophic scar; 5-aminolevulinic acid (5-ALA); Photodynamic therapy; Ferroptosis; Baicalin; Microneedles,TCM Active ingredient,Transcriptomics,manual collect,Homo sapiens,,hypertrophic scar,GEO,2025,8,999,Stomatological Hospital of Chongqing Medical University,0,0,0,
tcmomics000120,MicroRNAs expression in 20(R)-ginsenoside Rg3-induced anti-angiogenesis,"This study investigates the microRNA expression profile changes induced by 20(R)-ginsenoside Rg3 (Rg3-R) in VEGF-stimulated human umbilical vein endothelial cells (HUVEC). It identified specific up-regulated and down-regulated microRNAs, suggesting Rg3-R exerts its anti-angiogenic effects by modulating microRNA expression.",20(R)-ginsenoside Rg3; anti-angiogenesis; microRNAs; HUVEC; gene expression modulation,TCM Active ingredient,Transcriptomics,manual collect,Caenorhabditis elegans,,,GEO,2012,3,120,Hong Kong Baptist University,0,0,0,
tcmomics000122,Moxibustion Improves Hypothalamus Aqp4 Polarization in APP/PS1 Mice: Evidence from Spatial Transcriptomics,"Moxibustion improves hypothalamic Aqp4 polarization in APP/PS1 mice, shown by spatial transcriptomics. This mechanism, possibly involving mitochondrial energy supply, suggests moxibustion's role in alleviating cognitive impairment in Alzheimer's disease.",moxibustion;Aqp4 polarization;APP/PS1 mice;spatial transcriptomics;Alzheimer's disease;hypothalamus;cognitive impairment,Acupuncture & moxibustion,Transcriptomics,manual collect,Mus musculus,,Alzheimer's disease,GEO,2023,3,122,Chengdu University of Traditional Chinese Medicine,0,0,0,
tcmomics000082,Global transcriptional profiling of Saccharomyces cerevisiae treated with dictamnine,"We investigated the global transcriptional profiling of Saccharomyces cerevisiae treated with dictamnine, exploring its effects on yeast gene expression.",dictamnine;Saccharomyces cerevisiae;transcriptional profiling;gene expression,TCM Active ingredient,Transcriptomics,manual collect,Saccharomyces cerevisiae,,,GEO,2012,3,82,"College of Animal Science and Veterinary Medicine, Jilin University",0,0,0,
tcmomics000083,Global transcriptional profiling of Staphylococcus aureus treated with berberine chloride,"This study investigates the global transcriptional profiling of *Staphylococcus aureus* treated with berberine chloride. Berberine chloride, a natural plant product, exhibits potent antimicrobial activity against multi-resistant S. aureus strains, addressing the need for new treatment agents.",berberine chloride;Staphylococcus aureus;transcriptional profiling;antimicrobial activity,TCM Active ingredient,Transcriptomics,manual collect,Staphylococcus aureus,,,GEO,2012,6,83,"College of Animal Science and Veterinary Medicine, Jilin University",0,0,0,
tcmomics000086,Global transcriptome analysis of eukaryotic genes affected by Gromwell extract,"This study performed a global transcriptome analysis to identify eukaryotic genes affected by Gromwell extract (Lithospermum erythrorhizon) using Cryptococcus neoformans as a model. It found significant differential regulation of genes involved in core cellular functions and environmental stress tolerance, suggesting a broad impact on eukaryotic cell physiology.",Gromwell extract;Lithospermum erythrorhizon;transcriptome analysis;eukaryotic genes;Cryptococcus neoformans;gene regulation,Herb/herbal medicine,Transcriptomics,manual collect,Cryptococcus deneoformans JEC21,,,GEO,2013,12,86,Yonsei University,0,0,0,
tcmomics000089,Glycyrrhizic Acid Inhibits Myeloid Differentiation of Hematopoietic Stem Cells and Improves Cognition in Aged Mice by Binding to the S100 Calcium-Binding Protein A8 [lenti-A8 RNA-seq],"Glycyrrhizic acid (GA) remodels the immune system in aged mice by inhibiting myeloid differentiation and promoting lymphoid lineages, thereby improving cognition. This effect is mediated by GA binding to the S100 calcium-binding protein A8.",Glycyrrhizic acid;S100A8;hematopoietic stem cells;myeloid differentiation;lymphoid differentiation;cognition;aged mice;immune remodeling,TCM Active ingredient,Transcriptomics,manual collect,Mus musculus,,,GEO,2023,6,89,Tongji university,0,0,0,
